Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,30515.30078125,30515.30078125,30515.30078125,30515.30078125,30515.30078125,0
2018-01-03,30560.900390625,30560.900390625,30560.900390625,30560.900390625,30560.900390625,0
2018-01-04,30736.5,30736.5,30736.5,30736.5,30736.5,0
2018-01-05,30814.599609375,30814.599609375,30814.599609375,30814.599609375,30814.599609375,0
2018-01-08,30899.5,30899.5,30899.5,30899.5,30899.5,0
2018-01-09,31011.400390625,31011.400390625,31011.400390625,31011.400390625,31011.400390625,0
2018-01-10,31073.69921875,31073.69921875,31073.69921875,31073.69921875,31073.69921875,0
2018-01-11,31120.400390625,31120.400390625,31120.400390625,31120.400390625,31120.400390625,0
2018-01-12,31412.5,31412.5,31412.5,31412.5,31412.5,0
2018-01-16,31904.80078125,31904.80078125,31904.80078125,31904.80078125,31904.80078125,0
2018-01-17,31983.400390625,31983.400390625,31983.400390625,31983.400390625,31983.400390625,0
2018-01-18,32121.900390625,32121.900390625,32121.900390625,32121.900390625,32121.900390625,0
2018-01-19,32254.900390625,32254.900390625,32254.900390625,32254.900390625,32254.900390625,0
2018-01-22,32393.400390625,32393.400390625,32393.400390625,32393.400390625,32393.400390625,0
2018-01-23,32930.69921875,32930.69921875,32930.69921875,32930.69921875,32930.69921875,0
2018-01-24,32958.69921875,32958.69921875,32958.69921875,32958.69921875,32958.69921875,0
2018-01-25,32654.400390625,32654.400390625,32654.400390625,32654.400390625,32654.400390625,0
2018-01-26,33154.1015625,33154.1015625,33154.1015625,33154.1015625,33154.1015625,0
2018-01-29,32966.8984375,32966.8984375,32966.8984375,32966.8984375,32966.8984375,0
2018-01-30,32607.30078125,32607.30078125,32607.30078125,32607.30078125,32607.30078125,0
2018-01-31,32887.30078125,32887.30078125,32887.30078125,32887.30078125,32887.30078125,0
2018-02-01,32642.099609375,32642.099609375,32642.099609375,32642.099609375,32642.099609375,0
2018-02-02,32601.80078125,32601.80078125,32601.80078125,32601.80078125,32601.80078125,0
2018-02-05,32245.19921875,32245.19921875,32245.19921875,32245.19921875,32245.19921875,0
2018-02-06,30595.400390625,30595.400390625,30595.400390625,30595.400390625,30595.400390625,0
2018-02-07,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,0.07500000298023224,0
